SWF Name,SWF Country,Year,Url,Assets under management(Billion USD)
Fondo para la Revolucion Industrial Productiva (FINPRO),Bolivia,2012,https://www.bcb.gob.bo/search/node/FINPRO,1.2
Economic and Social Stabilization Fund,Chile,2006,https://www.hacienda.cl/english/work-areas/international-finance/sovereign-wealth-funds/economic-and-social-stabilization-fund,3.6
Pension Reserve Fund,Chile,2006,https://www.hacienda.cl/english/work-areas/international-finance/sovereign-wealth-funds/pension-reserve-fund,9.5
Fideicomiso Fondo de Ahorro y Estabilizacion (FAE),Colombia,2011,https://www.minhacienda.gov.co/fondo-de-ahorro-y-estabilizaci%C3%B3n-fae,4
Natural Resources Fund,Guyana,2019,https://finance.gov.gy/publications/natural-resource-fund/,2.3
Fondo Mexicano del Petroleo para la Estabilizacion y el Desarrollo,Mexico,2014,https://www.fmped.org.mx/rendicion-cuentas.html#estados-financieros,1.1
Fondo de Estabilizacion de los Ingresos Petroleros,Mexico,2000,https://www.fmped.org.mx/rendicion-cuentas.html#estados-financieros,2.4
Fondo de Estabilizacion de los Ingresos en las Entidades Federativas (FEIEF),Mexico,,https://ciep.mx/los-fondos-de-estabilizacion-en-mexico-ii-feief-sin-recursos-para-enfrentar-nuevas-crisis/,0.7
Fondo de Ahorro de Panama,Panama,2012,https://www.fondoahorropanama.com/financiero/,1.63
Fondo de Estabilizacion Fiscal (FEF),Peru,1999,https://www.mef.gob.pe/es/?option=com_content&language=es-ES&Itemid=100974&lang=es-ES&view=article&id=1067,3.2
Heritage and Stabilization Fund,Trinidad and Tobago,2000,https://www.finance.gov.tt/publications/heritage-and-stabilisation-fund/,6.08
Savings and Stabilisation Fund,Suriname,2019,https://gov.sr/126345-2/,
